,File,Area,Density1,Density2
5,./20240321_140300_322/Plate007_Well1_Object2.tif_projection.tif,4436194,267,288
19,./20240321_140300_322/Plate007_Well4_Object5.tif_projection.tif,3451553,137,139
27,./20240321_140300_322/Plate007_Well3_Object3.tif_projection.tif,4004288,187,195
29,./20240321_140300_322/Plate007_Well2_Object1.tif_projection.tif,4078730,259,274
44,./20240321_140300_322/Plate007_Well4_Object6.tif_projection.tif,4348177,258,264
80,./20240321_140300_322/Plate007_Well1_Object0.tif_projection.tif,5388719,359,385
84,./20240321_140300_322/Plate007_Well3_Object5.tif_projection.tif,3889639,168,178
88,./20240321_140300_322/Plate007_Well1_Object1.tif_projection.tif,4196440,276,303
91,./20240321_140300_322/Plate007_Well2_Object6.tif_projection.tif,4766448,271,284
97,./20240321_140300_322/Plate007_Well4_Object0.tif_projection.tif,2423879,0,0
111,./20240321_140300_322/Plate007_Well4_Object4.tif_projection.tif,3338924,150,158
114,./20240321_140300_322/Plate007_Well4_Object1.tif_projection.tif,3080233,0,0
116,./20240321_140300_322/Plate007_Well1_Object8.tif_projection.tif,3914116,272,286
124,./20240321_140300_322/Plate007_Well1_Object6.tif_projection.tif,4511571,287,310
126,./20240321_140300_322/Plate007_Well4_Object7.tif_projection.tif,4112534,149,153
139,./20240321_140300_322/Plate007_Well2_Object5.tif_projection.tif,4212531,159,168
159,./20240321_140300_322/Plate007_Well2_Object0.tif_projection.tif,4636561,252,260
163,./20240321_140300_322/Plate007_Well1_Object7.tif_projection.tif,471959,0,0
171,./20240321_140300_322/Plate007_Well4_Object2.tif_projection.tif,2606382,0,0
174,./20240321_140300_322/Plate007_Well4_Object3.tif_projection.tif,631048,0,0
196,./20240321_140300_322/Plate007_Well3_Object0.tif_projection.tif,4411400,268,279
210,./20240321_140300_322/Plate007_Well1_Object5.tif_projection.tif,3933962,215,234
220,./20240321_140300_322/Plate007_Well3_Object7.tif_projection.tif,3935261,271,285
223,./20240321_140300_322/Plate007_Well3_Object2.tif_projection.tif,2698090,101,107
225,./20240321_140300_322/Plate007_Well3_Object6.tif_projection.tif,3680584,274,285
226,./20240321_140300_322/Plate007_Well1_Object4.tif_projection.tif,4929280,453,482
231,./20240321_140300_322/Plate007_Well1_Object3.tif_projection.tif,3644269,225,239
253,./20240321_140300_322/Plate007_Well3_Object4.tif_projection.tif,3373648,163,176
254,./20240321_140300_322/Plate007_Well2_Object4.tif_projection.tif,3707709,286,297
260,./20240321_140300_322/Plate007_Well3_Object1.tif_projection.tif,4560528,214,222
261,./20240321_140300_322/Plate007_Well2_Object3.tif_projection.tif,4723119,288,295
278,./20240321_140300_322/Plate007_Well2_Object2.tif_projection.tif,4188892,237,244
