,File,Area,Density1,Density2
2,./20240321_140300_322/Plate003_Well2_Object2.tif_projection.tif,4891222,914,969
4,./20240321_140300_322/Plate003_Well1_Object4.tif_projection.tif,4961909,80,92
6,./20240321_140300_322/Plate003_Well2_Object6.tif_projection.tif,5391246,926,965
8,./20240321_140300_322/Plate003_Well4_Object4.tif_projection.tif,3992907,814,896
11,./20240321_140300_322/Plate003_Well3_Object5.tif_projection.tif,5031627,1820,1952
15,./20240321_140300_322/Plate003_Well4_Object8.tif_projection.tif,5039476,1217,1307
24,./20240321_140300_322/Plate003_Well2_Object3.tif_projection.tif,4331892,313,323
26,./20240321_140300_322/Plate003_Well3_Object1.tif_projection.tif,8042535,2002,2157
45,./20240321_140300_322/Plate003_Well2_Object4.tif_projection.tif,4695396,784,819
50,./20240321_140300_322/Plate003_Well3_Object7.tif_projection.tif,6682213,1788,1936
54,./20240321_140300_322/Plate003_Well3_Object0.tif_projection.tif,5602197,1384,1515
62,./20240321_140300_322/Plate003_Well1_Object1.tif_projection.tif,7489816,305,335
82,./20240321_140300_322/Plate003_Well2_Object1.tif_projection.tif,4779542,526,559
93,./20240321_140300_322/Plate003_Well1_Object2.tif_projection.tif,5006915,138,152
94,./20240321_140300_322/Plate003_Well4_Object1.tif_projection.tif,6653491,765,856
117,./20240321_140300_322/Plate003_Well4_Object6.tif_projection.tif,5205309,944,1026
128,./20240321_140300_322/Plate003_Well3_Object4.tif_projection.tif,5250245,1459,1584
150,./20240321_140300_322/Plate003_Well1_Object6.tif_projection.tif,5659708,313,332
156,./20240321_140300_322/Plate003_Well2_Object5.tif_projection.tif,6135774,790,819
168,./20240321_140300_322/Plate003_Well4_Object3.tif_projection.tif,5649719,1026,1151
175,./20240321_140300_322/Plate003_Well1_Object3.tif_projection.tif,5351525,167,179
186,./20240321_140300_322/Plate003_Well4_Object0.tif_projection.tif,5995001,915,1030
190,./20240321_140300_322/Plate003_Well3_Object6.tif_projection.tif,4548638,1066,1159
198,./20240321_140300_322/Plate003_Well2_Object0.tif_projection.tif,5219300,354,377
203,./20240321_140300_322/Plate003_Well1_Object5.tif_projection.tif,7044458,120,130
233,./20240321_140300_322/Plate003_Well1_Object7.tif_projection.tif,4186975,51,58
249,./20240321_140300_322/Plate003_Well3_Object3.tif_projection.tif,4662932,1106,1206
252,./20240321_140300_322/Plate003_Well4_Object5.tif_projection.tif,3992336,833,924
264,./20240321_140300_322/Plate003_Well2_Object7.tif_projection.tif,6213626,945,1033
276,./20240321_140300_322/Plate003_Well4_Object7.tif_projection.tif,4841296,995,1097
286,./20240321_140300_322/Plate003_Well3_Object2.tif_projection.tif,4580296,986,1092
287,./20240321_140300_322/Plate003_Well1_Object0.tif_projection.tif,6102097,107,119
290,./20240321_140300_322/Plate003_Well4_Object2.tif_projection.tif,7198952,1343,1462
