Slide Number,Sample,Description1,Batch,Plate,Well
Slide1,unfed,20296/H3P (FAM/Alexa555),20240321_140300_322,0,1
Slide2,Artemina 10min,20296/H3P (FAM/Alexa555),20240321_140300_322,0,2
Slide3,Artemina 2h,20296/H3P (FAM/Alexa555),20240321_140300_322,0,3
Slide4,Artemina 4h,20296/H3P (FAM/Alexa555),20240321_140300_322,0,4
Slide5,Artemina 6h,20296/H3P (FAM/Alexa555),20240321_140300_322,1,1
Slide6,Artemina 1d,20296/H3P (FAM/Alexa555),20240321_140300_322,1,2
Slide7,Artemina 2d,20296/H3P (FAM/Alexa555),20240321_140300_322,1,3
Slide8,Artemina 3d,20296/H3P (FAM/Alexa555),20240321_140300_322,1,4
Slide9,Artemina 4d,20296/H3P (FAM/Alexa555),20240321_140300_322,2,1
Slide10,Artemina 5d,20296/H3P (FAM/Alexa555),20240321_140300_322,2,2
Slide11,Artemina 6d,20296/H3P (FAM/Alexa555),20240321_140300_322,2,3
Slide12,Artemina 7d,20296/H3P (FAM/Alexa555),20240321_140300_322,2,4
Slide13,Liver 10min,20296/H3P (FAM/Alexa555),20240321_140300_322,3,1
Slide14,Liver 2h,20296/H3P (FAM/Alexa555),20240321_140300_322,3,2
Slide15,Liver 4h,20296/H3P (FAM/Alexa555),20240321_140300_322,3,3
Slide16,Liver 6h,20296/H3P (FAM/Alexa555),20240321_140300_322,3,4
Slide17,Liver 1d,20296/H3P (FAM/Alexa555),20240321_140300_322,4,1
Slide18,Liver 2d,20296/H3P (FAM/Alexa555),20240321_140300_322,4,2
Slide19,Liver 3d,20296/H3P (FAM/Alexa555),20240321_140300_322,4,3
Slide20,Liver 4d,20296/H3P (FAM/Alexa555),20240321_140300_322,4,4
Slide21,Liver 5d,20296/H3P (FAM/Alexa555),20240321_140300_322,5,1
Slide22,Liver 6d,20296/H3P (FAM/Alexa555),20240321_140300_322,5,2
Slide23,Liver 7d,20296/H3P (FAM/Alexa555),20240321_140300_322,5,3
Slide24,Peptone 10min,20296/H3P (FAM/Alexa555),20240321_140300_322,5,4
Slide25,Peptone 2h,20296/H3P (FAM/Alexa555),20240321_140300_322,6,1
Slide26,Peptone 4h,20296/H3P (FAM/Alexa555),20240321_140300_322,6,2
Slide27,Peptone 6h,20296/H3P (FAM/Alexa555),20240321_140300_322,6,3
Slide28,Peptone 1d,20296/H3P (FAM/Alexa555),20240321_140300_322,6,4
Slide29,Peptone 2d,20296/H3P (FAM/Alexa555),20240321_140300_322,7,1
Slide30,Peptone 3d,20296/H3P (FAM/Alexa555),20240321_140300_322,7,2
Slide31,Peptone 4d,20296/H3P (FAM/Alexa555),20240321_140300_322,7,3
Slide32,Peptone 5d,20296/H3P (FAM/Alexa555),20240402_081806_268,0,1
Slide33,Peptone 6d,20296/H3P (FAM/Alexa555),20240321_140300_322,8,1
Slide34,Peptone 7d,20296/H3P (FAM/Alexa555),20240321_140300_322,8,2
