,centromere_index,intensity,file,C1_Intensity,C2_Intensity,Label,Treatment,spots
47,0,620.2914,Cen7g11rFISH\Palbo_ON\IFISH001_001.tif,124,4437,Cen7g11rFISH,Palbo_ON,41
48,1,501.66,Cen7g11rFISH\Palbo_ON\IFISH001_001.tif,164,117,Cen7g11rFISH,Palbo_ON,41
49,2,481.91653,Cen7g11rFISH\Palbo_ON\IFISH001_001.tif,106,191,Cen7g11rFISH,Palbo_ON,41
50,3,452.32898,Cen7g11rFISH\Palbo_ON\IFISH001_001.tif,106,266,Cen7g11rFISH,Palbo_ON,41
51,4,446.39993,Cen7g11rFISH\Palbo_ON\IFISH001_001.tif,103,289,Cen7g11rFISH,Palbo_ON,41
52,5,383.4564,Cen7g11rFISH\Palbo_ON\IFISH001_001.tif,108,105,Cen7g11rFISH,Palbo_ON,41
53,6,361.28094,Cen7g11rFISH\Palbo_ON\IFISH001_001.tif,101,920,Cen7g11rFISH,Palbo_ON,41
54,7,360.94397,Cen7g11rFISH\Palbo_ON\IFISH001_001.tif,116,315,Cen7g11rFISH,Palbo_ON,41
55,8,373.41394,Cen7g11rFISH\Palbo_ON\IFISH001_001.tif,119,866,Cen7g11rFISH,Palbo_ON,41
56,9,359.02313,Cen7g11rFISH\Palbo_ON\IFISH001_001.tif,103,107,Cen7g11rFISH,Palbo_ON,41
57,10,339.1455,Cen7g11rFISH\Palbo_ON\IFISH001_001.tif,116,176,Cen7g11rFISH,Palbo_ON,41
58,11,343.70438,Cen7g11rFISH\Palbo_ON\IFISH001_001.tif,115,466,Cen7g11rFISH,Palbo_ON,41
59,12,333.95358,Cen7g11rFISH\Palbo_ON\IFISH001_001.tif,107,256,Cen7g11rFISH,Palbo_ON,41
60,13,338.1006,Cen7g11rFISH\Palbo_ON\IFISH001_001.tif,270,144,Cen7g11rFISH,Palbo_ON,41
61,14,332.04507,Cen7g11rFISH\Palbo_ON\IFISH001_001.tif,217,287,Cen7g11rFISH,Palbo_ON,41
62,15,314.5118,Cen7g11rFISH\Palbo_ON\IFISH001_001.tif,4499,128,Cen7g11rFISH,Palbo_ON,41
63,16,325.44354,Cen7g11rFISH\Palbo_ON\IFISH001_001.tif,212,113,Cen7g11rFISH,Palbo_ON,41
64,17,329.46252,Cen7g11rFISH\Palbo_ON\IFISH001_001.tif,103,3677,Cen7g11rFISH,Palbo_ON,41
65,18,291.23465,Cen7g11rFISH\Palbo_ON\IFISH001_001.tif,109,109,Cen7g11rFISH,Palbo_ON,41
66,19,289.8407,Cen7g11rFISH\Palbo_ON\IFISH001_001.tif,293,106,Cen7g11rFISH,Palbo_ON,41
67,20,296.1453,Cen7g11rFISH\Palbo_ON\IFISH001_001.tif,379,181,Cen7g11rFISH,Palbo_ON,41
68,21,286.16772,Cen7g11rFISH\Palbo_ON\IFISH001_001.tif,241,103,Cen7g11rFISH,Palbo_ON,41
69,22,285.52454,Cen7g11rFISH\Palbo_ON\IFISH001_001.tif,203,124,Cen7g11rFISH,Palbo_ON,41
70,23,276.31052,Cen7g11rFISH\Palbo_ON\IFISH001_001.tif,196,639,Cen7g11rFISH,Palbo_ON,41
71,24,271.42886,Cen7g11rFISH\Palbo_ON\IFISH001_001.tif,103,103,Cen7g11rFISH,Palbo_ON,41
72,25,281.01505,Cen7g11rFISH\Palbo_ON\IFISH001_001.tif,122,107,Cen7g11rFISH,Palbo_ON,41
73,26,268.29266,Cen7g11rFISH\Palbo_ON\IFISH001_001.tif,110,605,Cen7g11rFISH,Palbo_ON,41
74,27,266.66833,Cen7g11rFISH\Palbo_ON\IFISH001_001.tif,104,112,Cen7g11rFISH,Palbo_ON,41
75,28,240.99365,Cen7g11rFISH\Palbo_ON\IFISH001_001.tif,108,349,Cen7g11rFISH,Palbo_ON,41
76,29,239.43552,Cen7g11rFISH\Palbo_ON\IFISH001_001.tif,108,489,Cen7g11rFISH,Palbo_ON,41
77,30,249.87146,Cen7g11rFISH\Palbo_ON\IFISH001_001.tif,101,236,Cen7g11rFISH,Palbo_ON,41
78,31,228.21213,Cen7g11rFISH\Palbo_ON\IFISH001_001.tif,105,149,Cen7g11rFISH,Palbo_ON,41
79,32,226.14876,Cen7g11rFISH\Palbo_ON\IFISH001_001.tif,106,123,Cen7g11rFISH,Palbo_ON,41
80,33,222.9736,Cen7g11rFISH\Palbo_ON\IFISH001_001.tif,112,111,Cen7g11rFISH,Palbo_ON,41
81,34,213.71675,Cen7g11rFISH\Palbo_ON\IFISH001_001.tif,111,1466,Cen7g11rFISH,Palbo_ON,41
82,35,221.44579,Cen7g11rFISH\Palbo_ON\IFISH001_001.tif,107,416,Cen7g11rFISH,Palbo_ON,41
83,36,211.36726,Cen7g11rFISH\Palbo_ON\IFISH001_001.tif,3204,178,Cen7g11rFISH,Palbo_ON,41
84,37,200.76414,Cen7g11rFISH\Palbo_ON\IFISH001_001.tif,104,105,Cen7g11rFISH,Palbo_ON,41
85,38,198.26054,Cen7g11rFISH\Palbo_ON\IFISH001_001.tif,109,1761,Cen7g11rFISH,Palbo_ON,41
86,39,188.2959,Cen7g11rFISH\Palbo_ON\IFISH001_001.tif,106,282,Cen7g11rFISH,Palbo_ON,41
87,40,176.19267,Cen7g11rFISH\Palbo_ON\IFISH001_001.tif,106,111,Cen7g11rFISH,Palbo_ON,41
88,0,778.7684,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,117,5061,Cen7g11rFISH,Palbo_ON,43
89,1,715.69354,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,118,774,Cen7g11rFISH,Palbo_ON,43
90,2,651.745,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,171,430,Cen7g11rFISH,Palbo_ON,43
91,3,616.14777,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,107,112,Cen7g11rFISH,Palbo_ON,43
92,4,573.8618,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,103,107,Cen7g11rFISH,Palbo_ON,43
93,5,550.6173,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,103,400,Cen7g11rFISH,Palbo_ON,43
94,6,595.7783,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,110,496,Cen7g11rFISH,Palbo_ON,43
