,file,intensity
71,Cen7g11rFISH\Palbo_ON\IFISH009_003.tif,627.2323
62,Cen7g11rFISH\Palbo_ON\IFISH008_002.tif,591.33105
75,Cen7g11rFISH\Palbo_ON\IFISH009_007.tif,549.4769249999999
67,Cen7g11rFISH\Palbo_ON\IFISH008_008.tif,548.16565
87,Cen7g11rFISH\Palbo_ON\IFISH010_009.tif,541.4439
73,Cen7g11rFISH\Palbo_ON\IFISH009_005.tif,536.09665
84,Cen7g11rFISH\Palbo_ON\IFISH010_003.tif,528.04
72,Cen7g11rFISH\Palbo_ON\IFISH009_004.tif,524.4237
91,Cen7g11rFISH\Palbo_ON\IFISH010_015.tif,499.173995
85,Cen7g11rFISH\Palbo_ON\IFISH010_007.tif,495.25583
7,Cen7g11rFISH\Palbo_ON\IFISH001_010.tif,476.46271
5,Cen7g11rFISH\Palbo_ON\IFISH001_006.tif,474.66060000000004
6,Cen7g11rFISH\Palbo_ON\IFISH001_009.tif,463.80133
76,Cen7g11rFISH\Palbo_ON\IFISH009_008.tif,449.93129
70,Cen7g11rFISH\Palbo_ON\IFISH009_001.tif,444.84586
74,Cen7g11rFISH\Palbo_ON\IFISH009_006.tif,444.43779
1,Cen7g11rFISH\Palbo_ON\IFISH001_002.tif,437.88925
63,Cen7g11rFISH\Palbo_ON\IFISH008_003.tif,415.64455
69,Cen7g11rFISH\Palbo_ON\IFISH008_011.tif,415.08642499999996
61,Cen7g11rFISH\Palbo_ON\IFISH008_001.tif,409.564035
23,Cen7g11rFISH\Palbo_ON\IFISH003_008.tif,408.49559
65,Cen7g11rFISH\Palbo_ON\IFISH008_006.tif,402.74788
83,Cen7g11rFISH\Palbo_ON\IFISH010_002.tif,399.76294
86,Cen7g11rFISH\Palbo_ON\IFISH010_008.tif,398.202975
3,Cen7g11rFISH\Palbo_ON\IFISH001_004.tif,397.2972
68,Cen7g11rFISH\Palbo_ON\IFISH008_010.tif,393.5775
95,Cen7g11rFISH\Palbo_ON\IFISH011_001.tif,386.65866
88,Cen7g11rFISH\Palbo_ON\IFISH010_011.tif,382.17740000000003
97,Cen7g11rFISH\Palbo_ON\IFISH011_004.tif,379.77637
77,Cen7g11rFISH\Palbo_ON\IFISH009_011.tif,374.78454999999997
57,Cen7g11rFISH\Palbo_ON\IFISH007_012.tif,369.62048
2,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,366.06601
98,Cen7g11rFISH\Palbo_ON\IFISH011_007.tif,357.35062
66,Cen7g11rFISH\Palbo_ON\IFISH008_007.tif,356.02231
82,Cen7g11rFISH\Palbo_ON\IFISH010_000.tif,354.75012
37,Cen7g11rFISH\Palbo_ON\IFISH005_007.tif,354.726685
25,Cen7g11rFISH\Palbo_ON\IFISH003_010.tif,351.28152
9,Cen7g11rFISH\Palbo_ON\IFISH001_012.tif,350.67303
47,Cen7g11rFISH\Palbo_ON\IFISH006_010.tif,349.6219
93,Cen7g11rFISH\Palbo_ON\IFISH010_017.tif,348.21823
20,Cen7g11rFISH\Palbo_ON\IFISH003_004.tif,342.79315
49,Cen7g11rFISH\Palbo_ON\IFISH006_014.tif,338.79926
30,Cen7g11rFISH\Palbo_ON\IFISH004_007.tif,338.77243
44,Cen7g11rFISH\Palbo_ON\IFISH006_007.tif,337.68652
31,Cen7g11rFISH\Palbo_ON\IFISH004_008.tif,332.54614
78,Cen7g11rFISH\Palbo_ON\IFISH009_012.tif,329.394285
10,Cen7g11rFISH\Palbo_ON\IFISH001_013.tif,328.32266
55,Cen7g11rFISH\Palbo_ON\IFISH007_008.tif,327.849335
59,Cen7g11rFISH\Palbo_ON\IFISH007_014.tif,327.433
79,Cen7g11rFISH\Palbo_ON\IFISH009_013.tif,324.64239499999996
42,Cen7g11rFISH\Palbo_ON\IFISH006_003.tif,323.724065
64,Cen7g11rFISH\Palbo_ON\IFISH008_005.tif,321.9155
94,Cen7g11rFISH\Palbo_ON\IFISH011_000.tif,321.70910000000003
48,Cen7g11rFISH\Palbo_ON\IFISH006_012.tif,321.22745
92,Cen7g11rFISH\Palbo_ON\IFISH010_016.tif,320.1848
45,Cen7g11rFISH\Palbo_ON\IFISH006_008.tif,315.55259
4,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,314.84454
80,Cen7g11rFISH\Palbo_ON\IFISH009_014.tif,312.313675
22,Cen7g11rFISH\Palbo_ON\IFISH003_007.tif,309.05078
28,Cen7g11rFISH\Palbo_ON\IFISH004_003.tif,307.9039
90,Cen7g11rFISH\Palbo_ON\IFISH010_013.tif,300.8301
34,Cen7g11rFISH\Palbo_ON\IFISH005_001.tif,299.78189499999996
89,Cen7g11rFISH\Palbo_ON\IFISH010_012.tif,298.769
18,Cen7g11rFISH\Palbo_ON\IFISH002_009.tif,298.7188
36,Cen7g11rFISH\Palbo_ON\IFISH005_005.tif,294.41881
16,Cen7g11rFISH\Palbo_ON\IFISH002_005.tif,291.49155
43,Cen7g11rFISH\Palbo_ON\IFISH006_004.tif,290.85341
0,Cen7g11rFISH\Palbo_ON\IFISH001_001.tif,289.8407
96,Cen7g11rFISH\Palbo_ON\IFISH011_003.tif,287.31569
39,Cen7g11rFISH\Palbo_ON\IFISH006_000.tif,285.379215
14,Cen7g11rFISH\Palbo_ON\IFISH002_001.tif,280.20233
35,Cen7g11rFISH\Palbo_ON\IFISH005_003.tif,273.6493
17,Cen7g11rFISH\Palbo_ON\IFISH002_007.tif,270.00905
29,Cen7g11rFISH\Palbo_ON\IFISH004_006.tif,266.30669
26,Cen7g11rFISH\Palbo_ON\IFISH003_011.tif,264.172125
38,Cen7g11rFISH\Palbo_ON\IFISH005_010.tif,263.35956
11,Cen7g11rFISH\Palbo_ON\IFISH001_014.tif,262.67865
101,Cen7g11rFISH\Palbo_ON\IFISH011_011.tif,262.55255
54,Cen7g11rFISH\Palbo_ON\IFISH007_007.tif,260.7484
19,Cen7g11rFISH\Palbo_ON\IFISH002_010.tif,255.9432
52,Cen7g11rFISH\Palbo_ON\IFISH007_004.tif,255.77907
33,Cen7g11rFISH\Palbo_ON\IFISH005_000.tif,247.37396
53,Cen7g11rFISH\Palbo_ON\IFISH007_006.tif,245.47987
12,Cen7g11rFISH\Palbo_ON\IFISH001_015.tif,242.92346
102,Cen7g11rFISH\Palbo_ON\IFISH011_015.tif,239.447045
58,Cen7g11rFISH\Palbo_ON\IFISH007_013.tif,239.07602
41,Cen7g11rFISH\Palbo_ON\IFISH006_002.tif,236.206075
81,Cen7g11rFISH\Palbo_ON\IFISH009_015.tif,235.263825
13,Cen7g11rFISH\Palbo_ON\IFISH002_000.tif,235.037
32,Cen7g11rFISH\Palbo_ON\IFISH004_010.tif,229.615
40,Cen7g11rFISH\Palbo_ON\IFISH006_001.tif,228.51482
100,Cen7g11rFISH\Palbo_ON\IFISH011_010.tif,228.30116
46,Cen7g11rFISH\Palbo_ON\IFISH006_009.tif,227.3737
27,Cen7g11rFISH\Palbo_ON\IFISH004_002.tif,225.883655
8,Cen7g11rFISH\Palbo_ON\IFISH001_011.tif,223.68086
24,Cen7g11rFISH\Palbo_ON\IFISH003_009.tif,221.11604
15,Cen7g11rFISH\Palbo_ON\IFISH002_003.tif,219.873545
56,Cen7g11rFISH\Palbo_ON\IFISH007_011.tif,216.678325
50,Cen7g11rFISH\Palbo_ON\IFISH007_000.tif,200.71457
60,Cen7g11rFISH\Palbo_ON\IFISH007_016.tif,177.20685500000002
99,Cen7g11rFISH\Palbo_ON\IFISH011_009.tif,169.07831
